ID,Bundesland,Buecher_Zeitungen_und_Zeitschriften_sowie_fortlaufende_Sammelwerke,Karten_und_Pläne,Gedruckte_Musikalien,Einblattmaterialien,Sonstige_Druckwerke,Analoge_audiovisuelle_Materialien,Mikromaterialien,Weitere_nichtelektronische_Materialien,Manuskripte:Handschriften_und_Autographen,Digitale_Bestände:Einzeldokumente_sowie_Datenbanken
1,W,3805651,298015,136051,789667,0,40828,18382,200593,461613,20879
2,K,147264,365,100,0,0,44000,0,0,0,0
3,N,367931,24438,0,133358,0,12723,9,2319,0,114217
4,O,500500,100,60,300,0,500,35,0,1000,15000
5,St,752770,1630,3856,7500,1110,1130,11260,9600,3315,16339
6,V,580000,1500,87,0,0,18850,3740,700,782,18000
7,W,600687,0,74649,118351,0,0,5661,250000,264137,62305
8,K,924767,0,0,0,0,0,0,0,452,
9,O,75267,0,0,0,0,0,0,0,0,3493
10,O,1128002,0,0,0,0,0,0,0,0,28196
11,S,100565,0,157021,0,0,732,0,0,209,17078
12,S,2455306,0,0,1564,0,2547,0,0,1266,78317
13,St,0,0,0,0,0,0,0,0,2231,
14,St,0,0,0,0,0,0,0,0,0,0
15,St,0,4627,0,0,0,0,0,0,0,4224
16,St,0,0,0,0,0,0,0,0,0,0
17,St,83730,0,104998,0,0,23686,1101,0,11754,28438
18,T,3524172,0,0,0,0,0,0,0,1324,275465
19,W,696973,0,0,0,0,0,0,0,0,16771
20,W,1457966,0,0,0,0,12284,11898,0,0,64461
21,W,131521,781,0,5693,0,8847,22376,3570,506,7827
22,W,595383,0,0,0,0,0,0,0,0,16295
23,W,121280,0,136649,0,0,0,68,0,62,10381
24,W,7161562,0,0,0,0,0,1187863,0,1195,104682
25,W,218805,0,0,0,0,535,44,0,0,
26,W,703545,0,0,0,0,0,0,0,0,82270
27,B,44185,0,0,0,0,1414,0,0,0,127268
28,K,55101,0,0,0,0,0,0,0,0,1042
29,N,27774,0,0,0,0,84,0,0,0,2842
30,St,11050,0,0,0,0,16,0,0,0,5087
31,St,66140,0,0,0,0,135,0,0,0,2312
32,W,13840,0,0,0,0,0,0,0,0,533
33,W,26560,0,0,0,0,0,0,0,0,4300
34,W,13898,0,0,0,0,0,0,0,0,8
35,B,32848,0,0,0,0,1990,0,0,0,1391
36,K,100789,0,0,0,0,4353,11,307,0,2314
37,O,125071,0,0,0,0,669,0,0,0,3184
38,S,109726,90,0,50,0,970,0,15,0,4561
39,St,51950,0,0,0,0,800,0,2450,0,2
40,St,285990,0,905,0,0,31536,0,7056,0,6565
41,T,77608,0,0,0,0,87,0,2367,0,2086
42,W,10948,0,0,0,0,0,0,0,0,
43,W,195095,0,0,0,0,7247,0,269,0,8159
44,B,1845,0,7700,0,0,810,0,0,0,
45,K,51300,0,0,0,0,2,0,0,0,3
46,O,251730,202,0,0,0,512,16000,0,122,1226
47,S,0,0,0,0,0,0,0,0,0,1479
48,V,7478,0,35150,0,0,15000,0,0,0,7659
49,W,14900,0,25715,0,0,8806,0,0,0,146
50,K,13524,0,12,0,0,214,0,0,0,76
51,N,209191,0,0,0,0,603,0,0,0,5875
52,W,1500000,0,0,0,0,0,0,0,0,400
53,W,54018,0,0,0,0,0,0,0,0,394
54,W,51870,0,0,0,0,0,0,0,0,
55,W,795000,0,0,0,21868,1730,710,0,0,6316
56,W,809000,0,0,0,0,0,0,0,0,2265
57,W,138034,0,0,0,0,0,1,0,0,0
58,W,102250,0,0,0,26000000,0,2503000,94000,0,18100
59,W,358912,0,0,0,0,0,0,0,0,9
60,O,23000,0,0,2700,0,765,0,0,0,70
61,O,92000,0,0,0,0,65,4,0,0,0
62,T,293000,0,300,86000,21000,0,0,0,3000,
63,V,115100,0,0,0,0,0,879,0,50,
64,W,52901,0,0,0,0,0,0,0,0,1300
65,W,45987,0,0,140,0,0,0,0,0,3
66,W,50000,0,0,0,0,0,0,0,0,4
67,W,93604,0,0,4000,0,11000,0,777000,48000,207400
68,W,398905,4920,195,200,0,83,1085,25,0,1782
69,W,50000,0,0,0,0,0,0,0,0,10000
70,W,7500,0,0,0,0,0,0,0,0,1497
71,W,8580,0,0,0,0,0,0,0,0,24
72,W,125720,0,0,0,0,0,29,0,0,
73,St,17000,0,0,0,0,0,0,0,0,
74,W,23272,0,0,0,0,400,0,50,0,350
75,W,6000,10,5,0,0,86,0,0,0,
76,W,230000,0,0,0,0,0,576,0,0,139